data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
24/12/2025 18:43,✡şčąř♈fãçë✡,#80V0QQRRP,0,0,CHADS,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Dart Goblin | Goblin Gang | Mini P.E.K.K.A | Rascals | Skeleton Barrel | Suspicious Bush | The Log | Wall Breakers,1
24/12/2025 18:35,King Rob,#9Y2YJ28U,0,0,ANTI SU,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Boss Bandit | Dart Goblin | Rascals | Royal Ghost | Skeleton Barrel | Vines | Wall Breakers,1
24/12/2025 18:30,BastOr,#G0VJPQY08,0,0,french,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Dart Goblin | Executioner | Firecracker | Giant | Goblin Curse | Skeleton Barrel | Witch,1
24/12/2025 18:27,King Navid,#8QUPYP29Y,0,0,B4NG!!!,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Dart Goblin | Fireball | Goblins | Knight | Minions | Mortar | Skeleton Barrel,1
24/12/2025 16:42,tomori,#GCY8PPC0Y,0,0,GuatemalaFC,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Electro Giant | Elite Barbarians | Mega Knight | Mirror | P.E.K.K.A | Sparky | Witch | Wizard,1
24/12/2025 14:31,✨️MUSCLOR✨️™️,#2YVR2JG80,0,0,Team Garorock,Vitoria,3,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Giant | Goblin Barrel | Goblin Gang | Hog Rider | Hunter | Knight | Mini P.E.K.K.A | Musketeer,1
24/12/2025 13:30,James Bond,#2088U2PJC9,0,0,UCC boys,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Cannon | Dart Goblin | Electro Giant | Executioner | Lightning | Minions | Skeleton Army,1
24/12/2025 13:26,X - Force,#9C8CY200,0,0,ActiveFighters,Derrota,0,3,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Barbarian Barrel | Golem | Lightning | Lumberjack | Mini P.E.K.K.A | Phoenix | Tornado,1
24/12/2025 02:12,Aram,#YY0P0RQ,0,0,可惡X騎士,Vitoria,3,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Fireball | Hog Rider | Ice Spirit | Knight | Musketeer | Skeletons | Tesla | Vines,1
24/12/2025 02:08,Mayelo,#PP98YUGG9,0,0,Sem cla,Vitoria,2,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Cannon Cart | Goblin Gang | Lightning | Mega Knight | Mini P.E.K.K.A | Mother Witch | Musketeer | Valkyrie,1
24/12/2025 02:04,加菲喵,#QVP9L9JUC,0,1660,小小帝國,Vitoria,1,0,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Goblin Barrel | Goblin Gang | Ice Spirit | Inferno Tower | Princess | Valkyrie | Wizard,1
24/12/2025 01:55,﹫ᴀᴘʟᴏᴋᴄ愛,#RC2UYL2J,0,1682,1-800-DEADBOYS,Derrota,0,3,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bats | Executioner | Hog Rider | Knight | Mega Knight | Mini P.E.K.K.A | Mirror | Zap,1
23/12/2025 23:02,musky❤️,#UYQLGJ9J8,0,1719,Team Rocket,Derrota,0,1,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Cannon | Dart Goblin | Fireball | Knight | Monk | Rage | Rocket | Skeleton Barrel,1
23/12/2025 22:54,xxlilfrankxx,#VVLYJR89L,0,1698,Sem cla,Derrota,0,1,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Firecracker | Goblin Barrel | Hog Rider | Knight | Mega Knight | Musketeer | Skeleton Army | The Log,1
23/12/2025 14:25,LOROS_790,#209Q98VCQ9,0,1732,i pro mega,Vitoria,1,0,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Boss Bandit | Cannon | Firecracker | Guards | Hog Rider | Minions | Sparky | Zap,1
23/12/2025 12:32,Kiu,#88G8UJ8J,0,1687,rafiki,Vitoria,2,1,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Bomber | Dart Goblin | Lightning | Musketeer | Royal Hogs | Royal Recruits | Skeleton Barrel,Balloon | Barbarian Barrel | Bowler | Electro Dragon | Freeze | Inferno Dragon | Knight | Tornado,1
23/12/2025 03:30,ArturoPendragon,#JQ99P0JJ,0,1694,Sem cla,Vitoria,1,0,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Bomber | Dart Goblin | Lightning | Musketeer | Royal Hogs | Royal Recruits | Skeleton Barrel,Arrows | Cannon | Earthquake | Firecracker | Ice Golem | Mini P.E.K.K.A | Musketeer | Valkyrie,1
23/12/2025 03:26,"D""i""_3-+g*o",#JYVLLY02Q,0,1686,atilas,Derrota,0,1,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Bomber | Dart Goblin | Lightning | Musketeer | Royal Hogs | Royal Recruits | Skeleton Barrel,Arrows | Balloon | Firecracker | Goblin Gang | Knight | Mega Knight | Skeleton Army | The Log,1
23/12/2025 02:48,Ws Jeff,#2VR8RJUJJ,0,1510,WestSide 503,Vitoria,2,0,0,Ladder_TeamVsTeam,trail,Competitive,Barbarian Barrel | Bomber | Dart Goblin | Lightning | Musketeer | Royal Hogs | Royal Recruits | Skeleton Barrel,Executioner | Knight | Musketeer | Princess | Royal Delivery | Valkyrie | Void | Wall Breakers,1
