data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
29/12/2025 23:40,ImTheMan,#JLUYLLG,0,0,ChunLi's Thighs,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Vines,Archer Queen | Arrows | Balloon | Electro Spirit | Executioner | Knight | Lightning | P.E.K.K.A,1
29/12/2025 23:36,Ivanhoe,#9C8QGGGC2,0,0,#XGamerX,Derrota,0,3,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Vines,Firecracker | Goblin Gang | Mega Knight | Mega Minion | Mini P.E.K.K.A | Skeleton Barrel | Skeletons | Zap,1
29/12/2025 23:29,jared√,#RCCY8GC2V,0,0,Blue Death,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Vines,Arrows | Electro Wizard | Firecracker | Hog Rider | Mini P.E.K.K.A | P.E.K.K.A | Tesla | Tornado,1
29/12/2025 23:22,Zeledxn-,#20JJQCRUJ,0,0,CANADA,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits | Vines,Barbarian Barrel | Battle Ram | Boss Bandit | Electro Wizard | Magic Archer | Mini P.E.K.K.A | Skeletons | Zap,1
29/12/2025 23:18,bayaar,#UY20JCGC8,0,0,semti mukaddes,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Curse | Goblins | Ice Spirit | Mini P.E.K.K.A | Musketeer | Royal Recruits,Battle Ram | Executioner | Ice Spirit | P.E.K.K.A | Skeletons | The Log | Tornado | Zap,1
29/12/2025 23:12,souhaib,#RUQYPQ89R,0,0,GUBILINO GNARL,Derrota,0,1,0,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Archer Queen | Cannon | Earthquake | Ice Spirit | Royal Delivery | Royal Hogs | Skeletons | The Log,1
29/12/2025 23:04,primal,#VVRYP0L99,0,0,Mejali’s Family,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Fisherman | Freeze | Mini P.E.K.K.A | Monk | Royal Giant | Skeletons | The Log | Witch,1
29/12/2025 23:01,Migga,#YJ9Y0P9,0,0,Clash & Cones,Vitoria,1,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Arrows | Baby Dragon | Balloon | Inferno Dragon | Lumberjack | Mega Knight | Musketeer | Skeleton Army,1
29/12/2025 22:56,Luã Joshy,#J2YPCP2RY,0,0,chute boxe,Vitoria,3,0,30,Ranked1v1_NewArena,pathOfLegend,Legendary Arena,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Earthquake | Electro Spirit | Firecracker | Hog Rider | Royal Delivery | Tesla | The Log | Valkyrie,1
29/12/2025 22:52,Atom,#PPRRLCL0L,0,11087,Royal Giants,Vitoria,3,0,29,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Cannon | Dart Goblin | Fire Spirit | Goblin Barrel | Ice Spirit | Knight | Rocket | The Log,1
29/12/2025 22:46,Elsalchipapa,#JGGPQ0P2P,0,11061,c clan de temu,Vitoria,3,0,30,Ladder,PvP,Musketeer Street,Barbarian Barrel | Dart Goblin | Goblin Gang | Ice Spirit | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits,Bats | Bomb Tower | Knight | Miner | Poison | Spear Goblins | The Log | Wall Breakers,1
