data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
13/12/2025 23:06,Miller,#QV22PYC8J,0,0,Marksmen,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Bomb Tower | Dart Goblin | Rascals | Royal Ghost | Skeleton Barrel | Vines | Wall Breakers,1
13/12/2025 18:04,かまちゃん＝ロロ,#CG2PUCUG2,0,0,tenko育成クラン,Vitoria,1,0,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Electro Spirit | Fisherman | Knight | Lightning | Musketeer | Royal Giant | Skeletons,1
13/12/2025 17:57,shevo,#8YRJ0LYR2,0,0,cuba,Vitoria,1,0,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Balloon | Executioner | Golden Knight | Knight | Lightning | Mega Knight | Skeleton Barrel,1
13/12/2025 17:53,Axel,#PU8C20289,0,0,el tío,Derrota,0,1,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Electro Spirit | Fireball | Ice Spirit | P.E.K.K.A | Rage | Royal Ghost | Skeletons | Zap,1
13/12/2025 05:00,bence,#822V0GPPV,0,0,ELEMES,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Barbarian Barrel | Cannon | Electro Spirit | Firecracker | Hog Rider | Lightning | Mighty Miner | Skeletons,1
13/12/2025 04:58,Lucky Joe,#LYJVJRP,0,0,Consuming Fire,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Barbarian Barrel | Goblin Cage | Ice Wizard | Lightning | Mega Minion | Royal Ghost | The Log,1
13/12/2025 04:53,g-rob ࿎,#29RQPLGCY,0,0,Evo Thrutchley,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Executioner | Fire Spirit | Heal Spirit | Knight | Royal Delivery | Royal Giant | Three Musketeers | Tombstone,1
13/12/2025 04:49,baba pro ege,#L9UPJRCUJ,0,0,The Rippers™,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Bomb Tower | Guards | Magic Archer | Miner | The Log | Tornado | Valkyrie | Wall Breakers,1
13/12/2025 04:45,eiki,#9VRVJ0LV,0,0,Frozen Horizon,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Bats | Elixir Golem | Knight | Lightning | Mega Knight | Mini P.E.K.K.A | Witch,1
13/12/2025 04:41,terry,#LY222J2RR,0,10654,4 C’s Recruit,Vitoria,3,0,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Fireball | Goblin Gang | Mighty Miner | Minions | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Archer Queen | Balloon | Firecracker | Lumberjack | Mega Knight | Prince | The Log | Wizard,1
13/12/2025 04:39,SJFJR3,#8C2298UV,0,11030,907 Apocalypse,Derrota,0,3,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Archer Queen | Arrows | Bomber | Goblin Curse | Goblin Giant | P.E.K.K.A | Rage | Skeleton King,Battle Ram | Dark Prince | Inferno Tower | Little Prince | Lumberjack | Spear Goblins | Suspicious Bush | Void,1
13/12/2025 04:35,rigo,#QLRP08RV,0,10301,MX,Vitoria,1,0,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Firecracker | Goblin Demolisher | Goblin Hut | Golden Knight | Golem | Mega Knight | Princess | Witch,Arrows | Dart Goblin | Electro Dragon | Goblin Gang | Guards | Knight | Lumberjack | P.E.K.K.A,1
13/12/2025 04:32,PROCTOLOG,#VY9GLYY2G,0,10478,FETİH 1453,Vitoria,3,0,0,Rage_Ladder,riverRacePvP,Builder's Workshop,Barbarian Barrel | Electro Spirit | Fisherman | Hunter | Lightning | Royal Ghost | Royal Giant | Skeletons,Dart Goblin | Electro Dragon | Ice Spirit | Mighty Miner | Ram Rider | Royal Recruits | Skeleton Barrel | Tesla,1
13/12/2025 01:44,Destruction,#2J28PCY80,0,10558,Goofy ahh Clan,Vitoria,2,1,29,Ladder,PvP,Royal Road,Arrows | Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Clone | Executioner | Giant Skeleton | Hog Rider | Skeleton Army | Tesla | Witch,1
13/12/2025 00:38,maxlee,#JQ8CULVQU,0,0,Sem cla,Vitoria,2,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Battle Ram | Dark Prince | Elite Barbarians | Fireball | Knight | Phoenix | Prince,1
12/12/2025 20:59,TRISTAN,#9J82ULVVY,0,0,Breakers Real,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Balloon | Barbarians | Bats | Fireball | Inferno Dragon | Lava Hound | Rage,1
12/12/2025 20:12,¥Ben¢,#J8PC29YGU,0,0,Aldea la hoja,Vitoria,3,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Guards | Ice Spirit | Little Prince | Miner | Poison | Royal Delivery | Tesla | The Log,1
12/12/2025 20:08,royal,#2CUPJ9RQJ,0,0,(h1nkCentral,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Cannon | Dart Goblin | Goblin Barrel | Ice Spirit | Knight | Princess | Skeletons | The Log,1
12/12/2025 20:00,Subouts26,#LC8QUQYG8,0,0,ituiutaba wars,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Boss Bandit | Dart Goblin | Goblin Gang | Musketeer | Princess | Skeleton Barrel | The Log | Witch,1
12/12/2025 19:56,Salman,#8VPRRPJV2,0,0,A2-R7,Derrota,1,2,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Barbarian Barrel | Battle Healer | Electro Dragon | Elixir Collector | Elixir Golem | Mini P.E.K.K.A | Tornado,1
12/12/2025 12:10,Lord Vader,#R8CLY98C,0,0,TOP ROYALE,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Baby Dragon | Barbarian Barrel | Elixir Collector | Golem | Mini P.E.K.K.A | Minions | Vines | Witch,1
12/12/2025 04:35,Werbi,#9YUR8P89Y,0,0,Badgers,Vitoria,1,0,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Executioner | Fireball | Mega Knight | Mini P.E.K.K.A | Ram Rider | Valkyrie | Witch | Zap,1
12/12/2025 04:32,2>BOWFAFO YT,#GLLVPLUJ8,0,0,Ascent,Derrota,0,1,0,Showdown_Friendly,trail,Legendary Arena,Barbarian Barrel | Bats | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel,Fire Spirit | Goblin Demolisher | Goblin Drill | Knight | Poison | Skeletons | Tesla | The Log,1
12/12/2025 03:49,빌리,#GJJJ82V,0,0,갑옷없는페카,Vitoria,3,0,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Arrows | Boss Bandit | Electro Spirit | Fireball | Firecracker | Inferno Tower | Mega Knight | Skeletons,1
12/12/2025 03:46,XxJOOGIExX,#P98JC2QUQ,0,0,Aussie oranges,Derrota,0,3,0,TeamVsTeam,trail,Legendary Arena,Arrows | Barbarian Barrel | Bats | Goblin Gang | Goblins | Musketeer | Royal Recruits | Skeleton Barrel,Boss Bandit | Electro Spirit | Firecracker | Goblin Curse | Rage | Skeletons | Sparky | Vines,1
