data,nome_oponente,tag_oponente,nivel_oponente,trofes_oponente,clan_oponente,resultado,coroas_jogador,coroas_oponente,mudanca_trofes,modo_jogo,tipo_batalha,arena,deck_jogador,deck_oponente,vezes_enfrentado
06/01/2026 22:18,ROBA,#VU0UCP0,0,11611,Porto Fuori,Derrota,1,2,-27,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Fire Spirit | Goblins | Hog Rider | Mega Knight | Mega Minion | Princess | Skeleton Army | Zap,1
06/01/2026 22:04,Lord,#9RLCGUVGG,0,11618,Mex-Men2.0,Derrota,0,1,-29,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Electro Spirit | Giant Skeleton | Inferno Tower | Mortar | Royal Hogs | Skeleton Army | The Log | Witch,1
06/01/2026 20:14,MarmoNero,#LYCVQVGJU,0,11560,puzzoni,Vitoria,3,0,27,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Fireball | Hog Rider | Ice Spirit | Inferno Tower | Musketeer | Skeleton Army | The Log | Valkyrie,1
06/01/2026 20:11,SilentPancake,#VYJ2GGJPQ,0,11557,Sem cla,Vitoria,3,1,30,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Bowler | Electro Dragon | Goblin Drill | Mother Witch | Princess | Rage | Royal Hogs | Skeleton Army,1
06/01/2026 18:12,Commander ⚡Alva,#8JJ99QL2J,0,11568,GG Clan ⚡,Derrota,0,3,-31,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Berserker | Cannon | Dart Goblin | Guards | Skeleton Barrel | The Log | Vines | Wall Breakers,1
06/01/2026 13:38,dein vadder,#QPP20C2RR,0,11636,Bubatzbanditen,Derrota,0,1,-28,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Goblin Barrel | Goblin Gang | Ice Spirit | Inferno Tower | Princess | Rocket | The Log | Valkyrie,1
06/01/2026 03:39,شاه یزدان,#92RRC0G,0,11560,Iran Bax,Vitoria,3,1,27,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Barbarians | Bowler | Electro Giant | Hog Rider | Poison | Valkyrie | Witch | Wizard,1
06/01/2026 03:21,OGewan99,#VQ2J8LLR8,0,11556,Sem cla,Vitoria,3,0,30,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Bats | Cannon Cart | Goblin Gang | Goblinstein | Ice Wizard | Miner | Mortar,1
06/01/2026 03:16,angel#130102,#CUC2CRQ09,0,11564,liceoo,Vitoria,2,0,33,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Arrows | Balloon | Electro Wizard | Hog Rider | Mini P.E.K.K.A | Royal Ghost | Skeleton Army | Wizard,1
06/01/2026 03:13,God people,#PGG9R2P8V,0,11537,616快活谷,Derrota,0,1,-31,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Boss Bandit | Cannon | Fireball | Hog Rider | Ice Spirit | Musketeer | Skeletons | The Log,1
06/01/2026 02:35,DA_HOKAGE,#8PYQLJ2YQ,0,11500,DAVILA,Vitoria,3,0,27,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Archers | Elixir Collector | Golden Knight | Hog Rider | Knight | Three Musketeers | Valkyrie | Wizard,1
06/01/2026 02:25,Tularro,#YUJGRCQL,0,11530,los anti gordas,Derrota,0,3,-32,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Dart Goblin | Electro Spirit | Goblin Barrel | Goblin Gang | Inferno Tower | Princess | The Log | Valkyrie,1
06/01/2026 02:22,✿JHØS✿,#JJQJJGJC8,0,11589,livier,Derrota,0,1,-30,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Archers | Electro Spirit | Fireball | Goblin Gang | Knight | Mortar | Tesla | The Log,1
06/01/2026 02:14,Coolkai2,#LYCQPLY,0,11557,HUSKIES,Vitoria,1,0,29,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Archers | Fireball | Ice Spirit | Knight | Skeletons | Tesla | The Log | X-Bow,1
06/01/2026 02:11,Alex,#92R0JJ0JL,0,11537,Bella Vista RD,Vitoria,3,0,30,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Arrows | Bowler | Electro Dragon | Guards | Lightning | Mini P.E.K.K.A | Royal Giant | Tesla,1
06/01/2026 02:08,SKbeer28,#VQQQ99U2C,0,11500,Sem cla,Vitoria,3,0,30,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Balloon | Battle Healer | Berserker | Electro Giant | Graveyard | Hog Rider | Royal Giant | Rune Giant,1
06/01/2026 02:06,pedro,#U9VCPLLCL,0,11508,chispota,Derrota,0,1,-4,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Barbarian Barrel | Electro Wizard | Freeze | Knight | Mini P.E.K.K.A | Prince | Royal Ghost | Witch,1
06/01/2026 02:02,穎的廟口鴨香飯大份要加蛋,#LQP2G9VQ,0,11534,MTS Royale七部-彩虹,Derrota,0,1,-29,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Arrows | Electro Wizard | Goblin Cage | Hog Rider | Mini P.E.K.K.A | Rage | Valkyrie | Zap,1
06/01/2026 00:35,Arkeologen,#LQ09UPUPG,0,11551,Sem cla,Derrota,0,3,-31,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Dart Goblin | Goblin Gang | Rascals | Royal Ghost | Skeleton Barrel | The Log | Vines | Wall Breakers,1
05/01/2026 23:05,skanzo,#2YYG9J8GL,0,11539,LS ｜ ELITE™️,Vitoria,3,0,30,Ladder,PvP,Summit of Heroes,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,Dart Goblin | Hog Rider | Knight | Musketeer | Skeleton Army | Skeleton Barrel | The Log | Vines,1
05/01/2026 23:01,joeJMC-7,#U2PVQJC9J,0,11557,+961,Derrota,0,1,-30,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Mini P.E.K.K.A | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Guards | Hog Rider | Mega Knight | Mini P.E.K.K.A | Musketeer | Tesla | The Log | Witch,1
05/01/2026 22:58,Nikko FURIA,#8QYY0RRJL,0,11596,OS DO NORTE,Derrota,0,1,-29,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Dart Goblin | Goblin Gang | Lightning | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Bandit | Battle Ram | Electro Wizard | Fireball | Mother Witch | P.E.K.K.A | Royal Ghost | Zap,1
05/01/2026 22:54,leprearrosto01,#J9P2QQG0,0,11622,Clan:  #QUQCYRLP,Derrota,0,1,-30,Ladder,PvP,Summit of Heroes,Barbarian Barrel | Goblin Gang | Lightning | Minion Horde | Musketeer | Royal Recruits | Skeleton Barrel | Wall Breakers,Archer Queen | Cannon | Earthquake | Ice Spirit | Royal Delivery | Royal Hogs | Skeletons | The Log,1
